keyword,slug,locale,category,intent,priority,contentMode,source,searchVolume,competition,difficulty
Listing优化,listing,zh,隐私与数据合规,合规,P1,standard,manual,,,
亚马逊申诉信,amazon-appeal,zh,支付风控、平台申诉,风险、合规,P1,fact-source,manual,,,
